<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.11	01:00:00	18024.7	18027.4	17983.4	17984.8	690	0	18
2024.03.11	01:05:00	17984.9	17992.8	17975.7	17988.9	579	0	18
2024.03.11	01:10:00	17989.6	17994.9	17982.6	17983.1	322	0	18
2024.03.11	01:15:00	17983.4	17989.7	17983.1	17987.0	275	0	18
2024.03.11	01:20:00	17986.9	17996.2	17981.9	17993.1	298	0	18
2024.03.11	01:25:00	17993.2	17999.3	17993.2	17996.3	276	0	18
2024.03.11	01:30:00	17995.2	18009.9	17995.2	18007.8	388	0	18
2024.03.11	01:35:00	18007.4	18007.4	17989.5	17990.2	372	0	18
2024.03.11	01:40:00	17990.3	17992.3	17959.2	17968.2	689	0	18
2024.03.11	01:45:00	17968.4	17971.1	17960.1	17966.8	303	0	18
2024.03.11	01:50:00	17968.3	17969.3	17961.1	17965.3	282	0	18
2024.03.11	01:55:00	17965.4	17968.2	17959.0	17961.1	380	0	18
2024.03.11	02:00:00	17962.1	17970.8	17961.9	17965.2	492	0	18
2024.03.11	02:05:00	17965.3	17981.7	17965.1	17981.1	509	0	18
2024.03.11	02:10:00	17980.9	18009.4	17976.4	17984.6	586	0	18
2024.03.11	02:15:00	17984.4	18001.9	17982.3	18000.8	382	0	18
2024.03.11	02:20:00	18000.7	18008.8	17997.9	17999.8	292	0	18
2024.03.11	02:25:00	17999.6	18005.1	17995.7	18004.6	173	0	18
2024.03.11	02:30:00	18004.1	18007.7	18000.5	18000.9	227	0	18
2024.03.11	02:35:00	18000.8	18003.9	17995.8	18003.2	184	0	18
2024.03.11	02:40:00	18003.0	18016.3	18003.0	18005.8	330	0	18
2024.03.11	02:45:00	18006.3	18017.1	18005.8	18016.6	405	0	18
2024.03.11	02:50:00	18017.1	18023.4	18012.9	18018.8	358	0	18
2024.03.11	02:55:00	18018.6	18026.7	18015.1	18026.6	259	0	18
2024.03.11	03:00:00	18026.3	18026.3	18016.3	18020.8	436	0	18
2024.03.11	03:05:00	18020.7	18020.7	18010.1	18012.2	277	0	18
2024.03.11	03:10:00	18012.0	18023.1	18011.8	18020.1	458	0	20
2024.03.11	03:15:00	18020.2	18029.5	18019.4	18022.4	485	0	18
2024.03.11	03:20:00	18022.6	18024.6	18015.6	18017.0	460	0	18
2024.03.11	03:25:00	18017.2	18018.0	18003.7	18004.7	481	0	18
2024.03.11	03:30:00	18004.9	18010.3	18003.5	18003.5	437	0	18
2024.03.11	03:35:00	18003.4	18003.5	17998.4	18001.1	441	0	18
2024.03.11	03:40:00	18000.6	18003.2	17994.1	17996.8	347	0	18
2024.03.11	03:45:00	17996.9	18004.3	17995.9	18002.1	416	0	18
2024.03.11	03:50:00	18001.8	18007.4	18001.8	18005.4	340	0	18
2024.03.11	03:55:00	18005.3	18005.3	17995.8	18000.3	418	0	18
2024.03.11	04:00:00	18000.4	18007.9	17999.0	18006.7	374	0	18
2024.03.11	04:05:00	18006.8	18010.1	18004.1	18009.8	331	0	18
2024.03.11	04:10:00	18009.4	18012.6	18004.1	18007.3	314	0	18
2024.03.11	04:15:00	18007.2	18020.2	18006.7	18015.9	510	0	18
2024.03.11	04:20:00	18016.3	18023.7	18016.1	18021.8	327	0	18
2024.03.11	04:25:00	18021.9	18021.9	18017.5	18018.0	266	0	18
2024.03.11	04:30:00	18018.2	18026.5	18018.2	18024.2	439	0	18
2024.03.11	04:35:00	18024.3	18028.3	18023.0	18025.5	297	0	18
2024.03.11	04:40:00	18025.4	18037.9	18025.4	18029.6	476	0	18
2024.03.11	04:45:00	18029.8	18031.2	18017.8	18018.3	525	0	18
2024.03.11	04:50:00	18018.4	18019.5	18011.2	18012.7	367	0	18
2024.03.11	04:55:00	18012.4	18016.7	18009.1	18010.3	327	0	18
2024.03.11	05:00:00	18010.7	18011.4	18000.5	18008.3	493	0	18
2024.03.11	05:05:00	18008.4	18012.6	18007.4	18012.4	292	0	18
2024.03.11	05:10:00	18011.8	18012.1	18001.4	18005.2	355	0	18
2024.03.11	05:15:00	18005.6	18011.3	18005.2	18007.7	267	0	20
2024.03.11	05:20:00	18007.5	18009.5	18004.3	18006.1	227	0	18
2024.03.11	05:25:00	18006.1	18016.1	18005.9	18012.9	297	0	18
2024.03.11	05:30:00	18012.8	18013.4	17994.8	17995.1	466	0	18
2024.03.11	05:35:00	17995.2	17999.0	17994.4	17995.8	332	0	18
2024.03.11	05:40:00	17995.9	18003.0	17995.6	18001.6	239	0	18
2024.03.11	05:45:00	18001.7	18002.7	17996.5	17997.7	222	0	18
2024.03.11	05:50:00	17997.8	17998.4	17992.8	17995.2	255	0	18
2024.03.11	05:55:00	17995.3	17999.5	17993.5	17993.9	187	0	18
2024.03.11	06:00:00	17994.1	17996.3	17993.3	17994.6	137	0	18
2024.03.11	06:05:00	17994.6	17999.4	17993.9	17997.9	160	0	18
2024.03.11	06:10:00	17998.3	18001.4	17995.8	18001.3	187	0	18
2024.03.11	06:15:00	18001.2	18003.6	17999.8	18001.1	206	0	18
2024.03.11	06:20:00	18001.4	18001.9	17996.8	18000.3	173	0	18
2024.03.11	06:25:00	18000.6	18006.1	17999.8	18001.9	210	0	18
2024.03.11	06:30:00	18001.8	18002.9	17995.8	17995.9	217	0	18
2024.03.11	06:35:00	17995.8	17996.7	17995.4	17995.4	167	0	18
2024.03.11	06:40:00	17995.4	17995.4	17992.9	17993.9	155	0	18
2024.03.11	06:45:00	17994.3	17994.3	17992.4	17993.4	193	0	18
2024.03.11	06:50:00	17993.3	17995.2	17992.9	17994.1	200	0	18
2024.03.11	06:55:00	17993.9	17994.2	17973.5	17977.1	471	0	18
2024.03.11	07:00:00	17977.2	17977.2	17957.0	17962.7	603	0	18
2024.03.11	07:05:00	17962.3	17966.8	17956.9	17966.4	294	0	18
2024.03.11	07:10:00	17966.3	17970.1	17965.3	17969.9	231	0	18
2024.03.11	07:15:00	17969.8	17975.6	17969.8	17974.8	281	0	18
2024.03.11	07:20:00	17974.7	17978.4	17969.7	17969.7	218	0	18
2024.03.11	07:25:00	17970.0	17974.0	17968.9	17969.8	230	0	18
2024.03.11	07:30:00	17969.7	17970.4	17960.8	17961.9	290	0	18
2024.03.11	07:35:00	17962.3	17965.4	17962.1	17965.2	223	0	18
2024.03.11	07:40:00	17965.1	17968.9	17962.6	17965.2	201	0	18
2024.03.11	07:45:00	17965.3	17966.6	17961.2	17963.9	239	0	18
2024.03.11	07:50:00	17964.8	17967.7	17962.7	17966.9	216	0	18
2024.03.11	07:55:00	17966.8	17969.8	17965.5	17967.8	167	0	18
2024.03.11	08:00:00	17967.9	17974.4	17967.7	17971.7	281	0	18
2024.03.11	08:05:00	17971.3	17973.6	17964.6	17967.3	319	0	18
2024.03.11	08:10:00	17967.4	17973.8	17965.1	17969.2	284	0	18
2024.03.11	08:15:00	17969.1	17971.7	17967.2	17971.1	214	0	18
2024.03.11	08:20:00	17971.4	17972.7	17968.4	17969.6	210	0	20
2024.03.11	08:25:00	17970.1	17974.6	17969.0	17971.6	226	0	18
2024.03.11	08:30:00	17971.4	17981.2	17970.0	17980.3	356	0	18
2024.03.11	08:35:00	17980.4	17989.3	17979.3	17985.1	409	0	18
2024.03.11	08:40:00	17987.9	18000.5	17987.9	17994.3	405	0	18
2024.03.11	08:45:00	17994.4	18000.0	17991.3	17991.4	222	0	18
2024.03.11	08:50:00	17991.3	17994.5	17986.7	17993.9	175	0	20
2024.03.11	08:55:00	17994.1	18004.7	17994.1	18003.4	276	0	18
2024.03.11	09:00:00	18003.6	18010.6	18001.1	18009.4	437	0	18
2024.03.11	09:05:00	18009.2	18014.2	18005.8	18008.8	365	0	18
2024.03.11	09:10:00	18009.4	18009.6	18001.5	18004.6	279	0	18
2024.03.11	09:15:00	18004.8	18004.8	18001.3	18002.4	191	0	18
2024.03.11	09:20:00	18002.6	18004.6	17999.2	17999.3	157	0	20
2024.03.11	09:25:00	17999.2	18004.6	17997.5	17997.7	192	0	18
2024.03.11	09:30:00	17997.6	18004.1	17993.4	18001.3	299	0	18
2024.03.11	09:35:00	18000.5	18005.8	17999.8	18005.1	158	0	18
2024.03.11	09:40:00	18005.1	18005.8	17998.3	18002.5	152	0	18
2024.03.11	09:45:00	18002.4	18007.3	18001.8	18006.4	158	0	18
2024.03.11	09:50:00	18007.3	18008.0	18005.5	18007.7	160	0	18
2024.03.11	09:55:00	18007.5	18015.0	18007.5	18012.4	207	0	18
2024.03.11	10:00:00	18011.7	18020.9	18011.7	18017.4	412	0	18
2024.03.11	10:05:00	18017.6	18031.3	18015.0	18025.3	500	0	18
2024.03.11	10:10:00	18024.9	18024.9	18017.3	18020.9	339	0	20
2024.03.11	10:15:00	18021.1	18025.4	18014.5	18015.6	367	0	18
2024.03.11	10:20:00	18015.3	18017.4	17994.6	17998.9	620	0	18
2024.03.11	10:25:00	17999.0	18014.7	17996.2	18013.7	552	0	18
2024.03.11	10:30:00	18013.8	18014.4	18001.1	18001.2	486	0	18
2024.03.11	10:35:00	18001.5	18007.6	17997.1	18000.2	438	0	18
2024.03.11	10:40:00	18000.1	18005.6	17995.6	17998.4	437	0	20
2024.03.11	10:45:00	17997.6	18010.3	17994.4	18007.7	537	0	18
2024.03.11	10:50:00	18008.3	18025.9	18007.6	18020.6	607	0	18
2024.03.11	10:55:00	18020.7	18021.2	18006.4	18007.3	513	0	18
2024.03.11	11:00:00	18007.1	18024.6	17980.9	17982.1	1430	0	18
2024.03.11	11:05:00	17981.2	18001.8	17958.4	17971.1	1415	0	18
2024.03.11	11:10:00	17971.8	17972.6	17946.8	17952.1	1289	0	18
